" ID","Datetime","Type","Status","Note","From","To","Amount (total)","Amount (fee)","Funding Source","Destination"
"2394198259925614643","2017-04-25T03:15:53","Payment","Complete","Tutoring","Brian Taylor","Tom Johnson","- $220.00","","Visa Debit *1559",""
"9571985041865770691","2017-06-05T23:25:11","Payment","Complete","Tutoring","Brian Taylor","Tom Johnson","- $140.00","","Visa Debit *1559",""
"0183017943547806742","2017-06-20T02:34:04","Payment","Complete","Tutoring","Brian Taylor","Tom Johnson","- $120.00","","Visa Debit *1559",""
"1591324128391733886","2017-07-04T00:53:35","Payment","Complete","Tutoring","Brian Taylor","Tom Johnson","- $120.00","","Visa Debit *1559",""
"9660119258650515682","2017-07-20T01:42:06","Payment","Complete","Tutoring","Brian Taylor","Tom Johnson","- $120.00","","Visa Debit *1559",""
"6894747407815451429","2017-08-03T01:32:20","Payment","Complete","Tutoring","Brian Taylor","Tom Johnson","- $120.00","","Visa Debit *1559",""
"8748402024278420331","2017-08-15T00:20:39","Payment","Complete","Tutoring","Brian Taylor","Tom Johnson","- $120.00","","Visa Debit *1559",""
"3483695350643256240","2017-09-02T01:04:09","Payment","Complete","Security deposit","Brian Taylor","Maria Anderson","- $559.00","","Visa Debit *1559",""
"0454063333607815882","2017-09-06T05:10:45","Payment","Complete","Rent","Sally Smith","Brian Taylor","+ $1,150.00","","","Venmo balance"
"355418184","2017-09-06T05:13:03","Standard Transfer","Issued","","","","- $1,150.00","","","Visa Debit *8967"
"0574051702408762426","2017-10-02T02:07:23","Payment","Complete","Rent","Sally Smith","Brian Taylor","+ $1,350.00","","","Venmo balance"
"516011037","2017-10-02T04:23:22","Standard Transfer","Issued","","","","- $1,350.00","","","Visa Debit *8967"
"9989825587527947030","2017-11-02T00:53:07","Payment","Complete","Rent","Sally Smith","Brian Taylor","+ $1,350.00","","","Venmo balance"
"372403479","2017-11-02T01:13:34","Standard Transfer","Issued","","","","- $1,350.00","","","Visa Debit *8967"
"4140437272141578717","2017-11-05T00:06:18","Charge","Complete","Utilities","Brian Taylor","Sally Smith","+ $145.73","","","Venmo balance"
"0310843333942932640","2017-11-13T15:13:59","Charge","Complete","Utilities","Maria Anderson","Brian Taylor","- $120.50","","Venmo balance",""
"1983239091039277676","2017-11-27T02:35:50","Charge","Complete","Utilities","Maria Anderson","Brian Taylor","- $109.00","","Visa Debit *1559",""
"7778099368897892505","2017-11-30T01:57:53","Charge","Complete","Utilities","Brian Taylor","Sally Smith","+ $183.60","","","Venmo balance"
"9388161954659616108","2017-12-02T20:08:05","Payment","Complete","Rent","Sally Smith","Brian Taylor","+ $1,350.00","","","Venmo balance"
"1364616093163340455","2017-12-26T18:01:14","Charge","Complete","Utilities","Maria Anderson","Brian Taylor","- $105.00","","Venmo balance",""
"2745702116064039922","2017-12-27T07:35:29","Charge","Complete","Utilities","Brian Taylor","Sally Smith","+ $74.42","","","Venmo balance"
"1466256944605773697","2018-01-01T23:46:59","Payment","Complete","Rent","Sally Smith","Brian Taylor","+ $1,350.00","","","Venmo balance"
"172182853","2018-01-02T00:37:07","Standard Transfer","Issued","","","","- $2,878.25","","","Visa Debit *8967"
"5932567053219693623","2018-02-02T05:44:23","Payment","Complete","Rent","Sally Smith","Brian Taylor","+ $1,350.00","","","Venmo balance"
"6851437689953093581","2018-02-10T00:56:35","Charge","Complete","Utilities","Maria Anderson","Brian Taylor","- $122.50","","Venmo balance",""
"4711896418106941077","2018-03-03T01:00:54","Payment","Complete","Rent","Sally Smith","Brian Taylor","+ $1,350.00","","","Venmo balance"
"9056804191984143890","2018-03-03T19:52:04","Charge","Complete","Utilities","Maria Anderson","Brian Taylor","- $111.00","","Venmo balance",""
"173253160","2018-03-03T19:53:16","Standard Transfer","Issued","","","","- $2,466.50","","","Visa Debit *8967"
"4773771650779960749","2018-04-01T03:53:47","Payment","Complete","Utilities","Sally Smith","Brian Taylor","+ $406.80","","","Venmo balance"
